,VIX,regime,regime_name
2019-04-30,13.119999885559082,0,calm
2019-05-31,18.709999084472656,0,calm
2019-06-30,15.079999923706056,0,calm
2019-07-31,16.1200008392334,0,calm
2019-08-31,18.979999542236328,0,calm
2019-09-30,16.239999771118164,0,calm
2019-10-31,13.220000267028809,0,calm
2019-11-30,12.619999885559082,0,calm
2019-12-31,13.779999732971191,0,calm
2020-01-31,18.84000015258789,0,calm
2020-02-29,40.11000061035156,2,crisis
2020-03-31,53.540000915527344,2,crisis
2020-04-30,34.150001525878906,2,crisis
2020-05-31,27.510000228881836,1,stressed
2020-06-30,30.43000030517578,2,crisis
2020-07-31,24.459999084472656,1,stressed
2020-08-31,26.40999984741211,1,stressed
2020-09-30,26.3700008392334,1,stressed
2020-10-31,38.02000045776367,2,crisis
2020-11-30,20.56999969482422,1,stressed
2020-12-31,22.75,1,stressed
2021-01-31,33.09000015258789,2,crisis
2021-02-28,27.950000762939453,1,stressed
2021-03-31,19.399999618530273,0,calm
2021-04-30,18.61000061035156,0,calm
2021-05-31,16.760000228881836,0,calm
2021-06-30,15.829999923706056,0,calm
2021-07-31,18.239999771118164,0,calm
2021-08-31,16.479999542236328,0,calm
2021-09-30,23.13999938964844,1,stressed
2021-10-31,16.260000228881836,0,calm
2021-11-30,27.190000534057617,1,stressed
2021-12-31,17.219999313354492,0,calm
2022-01-31,24.829999923706055,1,stressed
2022-02-28,30.149999618530273,2,crisis
2022-03-31,20.559999465942383,1,stressed
2022-04-30,33.400001525878906,2,crisis
2022-05-31,26.190000534057617,1,stressed
2022-06-30,28.709999084472656,1,stressed
2022-07-31,21.329999923706055,1,stressed
2022-08-31,25.8700008392334,1,stressed
2022-09-30,31.6200008392334,2,crisis
2022-10-31,25.8799991607666,1,stressed
2022-11-30,20.579999923706055,1,stressed
2022-12-31,21.670000076293945,1,stressed
2023-01-31,19.399999618530273,0,calm
2023-02-28,20.700000762939453,1,stressed
2023-03-31,18.700000762939453,0,calm
2023-04-30,15.779999732971191,0,calm
2023-05-31,17.940000534057617,0,calm
2023-06-30,13.59000015258789,0,calm
2023-07-31,13.630000114440918,0,calm
2023-08-31,13.56999969482422,0,calm
2023-09-30,17.520000457763672,0,calm
2023-10-31,18.13999938964844,0,calm
2023-11-30,12.920000076293944,0,calm
2023-12-31,12.449999809265137,0,calm
2024-01-31,14.350000381469728,0,calm
2024-02-29,13.399999618530272,0,calm
2024-03-31,13.010000228881836,0,calm
2024-04-30,15.649999618530272,0,calm
2024-05-31,12.920000076293944,0,calm
2024-06-30,12.4399995803833,0,calm
2024-07-31,16.360000610351562,0,calm
2024-08-31,15.0,0,calm
2024-09-30,16.729999542236328,0,calm
2024-10-31,23.15999984741211,1,stressed
2024-11-30,13.510000228881836,0,calm
2024-12-31,17.350000381469727,0,calm
