,FEDFUNDS,CPI_INFLATION,GS10,SP500_RETURN,VIX,regime,regime_name
1993-11-30,3.02,0.0027472527472527,5.72,-0.0129946925677408,13.760000228881836,0,calm
1993-12-31,2.96,0.002054794520548,5.77,0.010040598783039,11.65999984741211,0,calm
1994-01-31,3.05,0.0,5.75,0.0319837679060372,10.630000114440918,0,calm
1994-02-28,3.25,0.0027341079972658,5.97,-0.0305055975160481,14.869999885559082,0,calm
1994-03-31,3.34,0.0027266530334015,6.48,-0.0468259306764003,20.450000762939453,1,stressed
1994-04-30,3.56,0.0006798096532969,6.97,0.0114646718785666,13.770000457763672,0,calm
1994-05-31,4.01,0.0020380434782609,7.18,0.0123209288658235,13.029999732971191,0,calm
1994-06-30,4.25,0.0027118644067796,7.1,-0.0271562390464461,14.970000267028809,0,calm
1994-07-31,4.26,0.0033806626098715,7.3,0.031004268952847,11.130000114440918,0,calm
1994-08-31,4.47,0.0040431266846361,7.24,0.0369091007906362,11.970000267028809,0,calm
1994-09-30,4.73,0.002013422818792,7.46,-0.0272453412439974,14.279999732971191,0,calm
1994-10-31,4.76,0.000669792364367,7.74,0.0206197596486758,14.5600004196167,0,calm
1994-11-30,5.29,0.0026773761713521,7.96,-0.0403060983247587,15.949999809265137,0,calm
1994-12-31,5.45,0.002002670226969,7.81,0.0122240976788351,13.199999809265137,0,calm
1995-01-31,5.53,0.0026648900732844,7.78,0.0239876927407221,11.960000038146973,0,calm
1995-02-28,5.92,0.00265780730897,7.47,0.0354387127748152,11.75,0,calm
1995-03-31,5.98,0.0019880715705764,7.2,0.0269624201036424,13.369999885559082,0,calm
1995-04-30,6.05,0.0039682539682541,7.06,0.0275766038428389,11.75,0,calm
1995-05-31,6.01,0.0019762845849802,6.63,0.0356679795657248,12.850000381469728,0,calm
1995-06-30,6.0,0.0019723865877712,6.17,0.0210553163061704,11.380000114440918,0,calm
1995-07-31,5.85,0.0013123359580051,6.28,0.0312816275925121,13.489999771118164,0,calm
1995-08-31,5.74,0.0019659239842726,6.49,-0.0003202887643984,11.520000457763672,0,calm
1995-09-30,5.8,0.001308044473512,6.2,0.0393144326915886,12.739999771118164,0,calm
1995-10-31,5.76,0.0026126714565644,6.04,-0.0049917733857125,13.829999923706056,0,calm
1995-11-30,5.8,0.001302931596091,5.93,0.0402288613213516,11.579999923706056,0,calm
1995-12-31,5.6,0.0013012361743658,5.71,0.0172934755413949,12.520000457763672,0,calm
1996-01-31,5.56,0.0051981806367771,5.65,0.0320967312736511,12.529999732971191,0,calm
1996-02-29,5.22,0.0019392372333548,5.81,0.0069097742152322,17.040000915527344,0,calm
